"1.5.0.0 & later","1.5.0.0 e posteriores"
"Action","Ação"
"Add Author","Adicionar Autor"
"Add Contents Path","Adicionar Caminho Conteúdo"
"Add PHP Extension dependency","Adicionar Dependência Extensão PHP"
"Add Package dependency","Adicionar Dependência Pacote"
"Add files","Adicionar Ficheiros"
"Authors","Autores"
"Channel","Canal"
"Contents","Conteúdo"
"Create Extension Package","Criar Pacote de Extensão"
"Dependencies","Dependências"
"Description","Descrição"
"Edit Extension","Editar Extensão"
"Email","Email"
"Extension","Extensão"
"Extensions","Extensões"
"Failed to create the package.","Falha ao criar o pacote."
"Failed to load the package data.","Falha ao carregar dados do pacote."
"Failed to save the package.","Falha ao guardar o pacote."
"Files","Ficheiros"
"Folder","Pasta"
"Ignore","Ignorar"
"Include","Incluir"
"License","Licença"
"License URI","URI Licença"
"Load Local Package","Carregar Pacote Local"
"Load local Package","Carregar Pacote Locale"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Gestor Magento Connect"
"Max","Máx."
"Maximum","Máximo"
"Min","Min."
"Minimum","Mínimo"
"Name","Nome"
"New Extension","Nova Extensão"
"PHP Version","Versão PHP"
"Package","Pacote"
"Package Extensions","Criar pacote Extensões"
"Package File Name","Nome Ficheiro Pacote"
"Package Info","Informação Pacote"
"Packages","Pacotes"
"Path","Caminho"
"Pre-1.5.0.0","Pré-1.5.0.0"
"Release Info","Informação Versão"
"Remove","Remover"
"Save As...","Guardar Como..."
"Save Data and Create Package","Guardar Dados e Criar Pacote"
"Save package with custom package file name","Guardar pacote com nome personalizado"
"Summary","Sumário"
"Supported releases","Versões Suportadas"
"System","Sistema"
"Target","Destino"
"The package %s data has been loaded.","Os dados do pacote %s foram carregados,"
"The package data has been saved.","Os dados do pacote foram guardados."
"There was a problem saving package data","Ocorreu um erro ao guardar os dados do pacote"
"Type","Tipo"
"User","Utilizador"
